ano_marca,modelo,ciudad,combustible,cambio,preciomensual,tierprecio,espera,image,url,
2018 HYUNDAI,i10 1.2 Link,PlaceHolderCiudad,Gasolina,Manual,299,U300,3 días de espera,https://static.wabicar.com/assets/38ca5196-73e0-4f19-908f-b682cf1169d4/images/group-14299-v2-1/group-14299-v2-1-2023-05-04-070137-full.png,https://my.wabicar.com/es/es/vdp/HYUNDAI/i10%201.2%20Link/38ca5196-73e0-4f19-908f-b682cf1169d4,
2022 FIAT,500 1.0 Hybrid CULT,PlaceHolderCiudad,Híbrido,Manual,329,U500,3 días de espera,https://static.wabicar.com/assets/df04592b-7c82-4a82-b03b-9ab293b20a9b/images/7585-mbm-001/7585-mbm-001-2022-10-26-030255-full.jpg,https://my.wabicar.com/es/es/vdp/FIAT/500/df04592b-7c82-4a82-b03b-9ab293b20a9b,
2022 FIAT,500 1.0 Hybrid CULT,PlaceHolderCiudad,Híbrido,Manual,329,U500,3 días de espera,https://static.wabicar.com/assets/bab66c0d-e33d-4a50-9823-65b2fe3c97f3/images/7638-mbm-001-2022-10-31-044520-full/7638-mbm-001-2022-10-31-044520-full-2023-08-18-093642-full.jpg,https://my.wabicar.com/es/es/vdp/FIAT/500%20CULT%201.0%20HIBRIDO%2070CV/bab66c0d-e33d-4a50-9823-65b2fe3c97f3,
2022 KIA,STONIC DRIVE,PlaceHolderCiudad,Gasolina,Manual,1210,A500,3 días de espera,https://static.wabicar.com/assets/269c818a-4821-4406-a386-e392df6a557e/images/rojo/rojo-2022-12-29-061102-full.jpg,https://my.wabicar.com/es/es/vdp/KIA/STONIC/269c818a-4821-4406-a386-e392df6a557e,
